Date,Open,High,Low,Close,Adj Close,Volume
2001-12-25,47745.351563,47745.351563,47745.351563,47745.351563,33765.578125,0
2001-12-26,47745.351563,47745.351563,47745.351563,47745.351563,33765.578125,0
2001-12-27,47745.351563,47745.351563,47745.351563,47745.351563,33765.578125,0
2001-12-28,47745.351563,47745.351563,47745.351563,47745.351563,33765.578125,0
2001-12-31,48723.742188,48723.742188,48723.742188,48723.742188,34457.496094,0
2002-01-01,48723.742188,48723.742188,48723.742188,48723.742188,34457.496094,0
2002-01-02,48723.742188,48723.742188,48723.742188,48723.742188,34457.496094,0
2002-01-03,50387.000000,50387.000000,50387.000000,50387.000000,35633.750000,0
2002-01-04,50387.000000,50387.000000,50387.000000,50387.000000,35633.750000,0
2002-01-07,50387.000000,50387.000000,50387.000000,50387.000000,35633.750000,0
2002-01-08,50387.000000,50387.000000,50387.000000,50387.000000,35633.750000,0
2002-01-09,50387.000000,50387.000000,50387.000000,50387.000000,35633.750000,0
2002-01-10,50387.000000,50387.000000,50387.000000,50387.000000,35633.750000,0
2002-01-11,50387.000000,50387.000000,50387.000000,50387.000000,35633.750000,0
2002-01-14,50387.000000,50387.000000,50387.000000,50387.000000,35633.750000,0
2002-01-15,50387.000000,50387.000000,50387.000000,50387.000000,35633.750000,0
2002-01-16,50387.000000,50387.000000,50387.000000,50387.000000,35633.750000,0
2002-01-17,50387.000000,50387.000000,50387.000000,50387.000000,35633.750000,0
2002-01-18,50387.000000,50387.000000,50387.000000,50387.000000,35633.750000,0
2002-01-21,50387.000000,50387.000000,50387.000000,50387.000000,35633.750000,0
2002-01-22,50387.000000,50387.000000,50387.000000,50387.000000,35633.750000,0
2002-01-23,50387.000000,50387.000000,50387.000000,50387.000000,35633.750000,0
2002-01-24,50387.000000,50387.000000,50387.000000,50387.000000,35633.750000,0
2002-01-25,50387.000000,50387.000000,50387.000000,50387.000000,35633.750000,0
2002-01-28,50387.000000,50387.000000,50387.000000,50387.000000,35633.750000,0
2002-01-29,50387.000000,50387.000000,50387.000000,50387.000000,35633.750000,0
2002-01-30,50387.000000,50387.000000,50387.000000,50387.000000,35633.750000,0
2002-01-31,57040.042969,57040.042969,57040.042969,57040.042969,40338.796875,0
2002-02-01,57040.042969,57040.042969,57040.042969,57040.042969,40338.796875,0
2002-02-04,57040.042969,57040.042969,57040.042969,57040.042969,40338.796875,0
2002-02-05,57040.042969,57040.042969,57040.042969,57040.042969,40338.796875,0
2002-02-06,57040.042969,57040.042969,57040.042969,57040.042969,40338.796875,0
2002-02-07,57040.042969,57040.042969,57040.042969,57040.042969,40338.796875,0
2002-02-08,57040.042969,57040.042969,57040.042969,57040.042969,40338.796875,0
2002-02-11,54007.039063,54007.039063,54007.039063,54007.039063,38193.843750,0
2002-02-12,54007.039063,54007.039063,54007.039063,54007.039063,38193.843750,0
2002-02-13,54007.039063,54007.039063,54007.039063,54007.039063,38193.843750,0
2002-02-14,54007.039063,54007.039063,54007.039063,54007.039063,38193.843750,0
2002-02-15,54007.039063,54007.039063,54007.039063,54007.039063,38193.843750,0
2002-02-18,54007.039063,54007.039063,54007.039063,54007.039063,38193.843750,0
2002-02-19,54007.039063,54007.039063,54007.039063,54007.039063,38193.843750,0
2002-02-20,54007.039063,54007.039063,54007.039063,54007.039063,38193.843750,0
2002-02-21,54007.039063,54007.039063,54007.039063,54007.039063,38193.843750,0
2002-02-22,54007.039063,54007.039063,54007.039063,54007.039063,38193.843750,0
2002-02-25,54007.039063,54007.039063,54007.039063,54007.039063,38193.843750,0
2002-02-26,54007.039063,54007.039063,54007.039063,54007.039063,38193.843750,0
2002-02-27,54007.039063,54007.039063,54007.039063,54007.039063,38193.843750,0
2002-02-28,54007.039063,54007.039063,54007.039063,54007.039063,38193.843750,0
2002-03-01,56648.687500,56648.687500,56648.687500,56648.687500,40062.023438,0
2002-03-04,56648.687500,56648.687500,56648.687500,56648.687500,40062.023438,0
2002-03-05,56648.687500,56648.687500,56648.687500,56648.687500,40062.023438,0
2002-03-06,56648.687500,56648.687500,56648.687500,56648.687500,40062.023438,0
2002-03-07,56648.687500,56648.687500,56648.687500,56648.687500,40062.023438,0
2002-03-08,56648.687500,56648.687500,56648.687500,56648.687500,40062.023438,0
2002-03-11,56648.687500,56648.687500,56648.687500,56648.687500,40062.023438,0
2002-03-12,56648.687500,56648.687500,56648.687500,56648.687500,40062.023438,0
2002-03-13,56648.687500,56648.687500,56648.687500,56648.687500,40062.023438,0
2002-03-14,56648.687500,56648.687500,56648.687500,56648.687500,40062.023438,0
2002-03-15,56648.687500,56648.687500,56648.687500,56648.687500,40062.023438,0
2002-03-18,56648.687500,56648.687500,56648.687500,56648.687500,40062.023438,0
2002-03-19,56648.687500,56648.687500,56648.687500,56648.687500,40062.023438,0
2002-03-20,56648.687500,56648.687500,56648.687500,56648.687500,40062.023438,0
2002-03-21,56648.687500,56648.687500,56648.687500,56648.687500,40062.023438,0
2002-03-22,56648.687500,56648.687500,56648.687500,56648.687500,40062.023438,0
2002-03-25,56648.687500,56648.687500,56648.687500,56648.687500,40062.023438,0
2002-03-26,56648.687500,56648.687500,56648.687500,56648.687500,40062.023438,0
2002-03-27,56648.687500,56648.687500,56648.687500,56648.687500,40062.023438,0
2002-03-28,56648.687500,56648.687500,56648.687500,56648.687500,40062.023438,0
2002-03-29,56648.687500,56648.687500,56648.687500,56648.687500,40062.023438,0
2002-04-01,56648.687500,56648.687500,56648.687500,56648.687500,40062.023438,0
2002-04-02,56648.687500,56648.687500,56648.687500,56648.687500,40062.023438,0
2002-04-03,56648.687500,56648.687500,56648.687500,56648.687500,40062.023438,0
2002-04-04,56648.687500,56648.687500,56648.687500,56648.687500,40062.023438,0
2002-04-05,56942.203125,56942.203125,56942.203125,56942.203125,40269.597656,0
2002-04-08,56942.203125,56942.203125,56942.203125,56942.203125,40269.597656,0
2002-04-09,56942.203125,56942.203125,56942.203125,56942.203125,40269.597656,0
2002-04-10,56942.203125,56942.203125,56942.203125,56942.203125,40269.597656,0
2002-04-11,56942.203125,56942.203125,56942.203125,56942.203125,40269.597656,0
2002-04-12,56942.203125,56942.203125,56942.203125,56942.203125,40269.597656,0
2002-04-15,56942.203125,56942.203125,56942.203125,56942.203125,40269.597656,0
2002-04-16,56942.203125,56942.203125,56942.203125,56942.203125,40269.597656,0
2002-04-17,56942.203125,56942.203125,56942.203125,56942.203125,40269.597656,0
2002-04-18,56942.203125,56942.203125,56942.203125,56942.203125,40269.597656,0
2002-04-19,56942.203125,56942.203125,56942.203125,56942.203125,40269.597656,0
2002-04-22,56942.203125,56942.203125,56942.203125,56942.203125,40269.597656,0
2002-04-23,56942.203125,56942.203125,56942.203125,56942.203125,40269.597656,0
2002-04-24,56942.203125,56942.203125,56942.203125,56942.203125,40269.597656,0
2002-04-25,56942.203125,56942.203125,56942.203125,56942.203125,40269.597656,0
2002-04-26,56942.203125,56942.203125,56942.203125,56942.203125,40269.597656,0
2002-04-29,56942.203125,56942.203125,56942.203125,56942.203125,40269.597656,0
2002-04-30,56942.203125,56942.203125,56942.203125,56942.203125,40269.597656,0
2002-05-01,57627.074219,57627.074219,57627.074219,57627.074219,40753.941406,0
2002-05-02,57627.074219,57627.074219,57627.074219,57627.074219,40753.941406,0
2002-05-03,57627.074219,57627.074219,57627.074219,57627.074219,40753.941406,0
2002-05-06,57627.074219,57627.074219,57627.074219,57627.074219,40753.941406,0
2002-05-07,57627.074219,57627.074219,57627.074219,57627.074219,40753.941406,0
